date,ticker,name,stock_exchange,sector,economic_risk_region,avg_daily_volume_m,market_cap_b,revenue_b,net_income_b,operating_margin,price_ltm_sales,pe_ratio,fcf_yield,return_on_common,cash_ratio,price_52w_high_pct
2026-05-01,WDAY,Workday,NasdaqGS,Information Technology,Developed,5.644,32.635,9.552,0.693,10.7%,3.4x,47.1x,8.5%,8.2%,85.3%,46.0%
2026-05-01,TDC,Teradata,NYSE,Information Technology,Developed,2.102,2.643,1.663,0.13,12.6%,1.6x,20.3x,10.8%,71.6%,53.9%,66.9%
2026-05-01,Q,Qnity Electronics,NYSE,Information Technology,Developed,2.186,30.019,4.754,0.729,21.5%,6.3x,43.4x,3.3%,7.8%,67.5%,97.7%
2026-05-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,2.159,5.779,5.18,0.437,20.5%,1.1x,13.2x,15.2%,10.5%,51.0%,59.3%
2026-05-01,ONTO,Onto Innovation,NYSE,Information Technology,Developed,0.901,14.571,1.005,0.137,21.2%,14.5x,106.5x,2.1%,6.8%,292.1%,92.7%
2026-05-01,KD,Kyndryl Holdings,NYSE,Information Technology,Developed,5.708,3.237,15.123,0.25,4.3%,0.2x,12.9x,9.2%,21.9%,26.7%,32.5%
2026-05-01,IT,Gartner,NYSE,Information Technology,Developed,1.709,9.883,6.497,0.729,18.1%,1.5x,13.6x,11.9%,86.9%,42.3%,32.4%
2026-05-01,FICO,Fair Isaac,NYSE,Information Technology,Developed,0.381,24.014,2.256,0.76,50.9%,10.6x,31.6x,3.8%,-47.1%,54.1%,46.7%
2026-05-01,EPAM,EPAM Systems,NYSE,Information Technology,Developed,1.419,5.926,5.457,0.378,10.7%,1.1x,15.7x,10.3%,10.3%,132.7%,50.5%
2026-05-01,DOCU,DocuSign,NasdaqGS,Information Technology,Developed,4.851,9.318,3.22,0.309,9.3%,2.9x,30.1x,11.4%,15.8%,42.5%,50.7%
2026-05-01,CTSH,Cognizant,NasdaqGS,Information Technology,Developed,7.138,24.845,21.406,2.229,15.8%,1.2x,11.1x,9.9%,14.9%,43.1%,60.6%
2026-05-01,BMI,Badger Meter,NYSE,Information Technology,Developed,0.553,3.56,0.897,0.131,18.9%,4.0x,27.3x,4.7%,19.6%,121.3%,48.0%
2026-05-01,AMAT,Applied Materials,NasdaqGS,Information Technology,Developed,7.004,308.8,28.214,7.839,29.9%,10.9x,39.4x,2.0%,38.9%,109.8%,92.5%
2026-05-01,ADSK,Autodesk,NasdaqGS,Information Technology,Developed,2.201,51.558,7.206,1.124,25.1%,7.2x,45.9x,4.7%,39.7%,44.7%,74.3%
2026-05-01,ADBE,Adobe,NasdaqGS,Information Technology,Developed,5.973,101.3,24.453,7.208,36.9%,4.1x,14.1x,10.2%,58.8%,60.6%,59.3%
2026-04-01,WDAY,Workday,NasdaqGS,Information Technology,Developed,5.128,33.172,9.552,0.693,10.7%,3.5x,47.9x,8.4%,8.2%,85.3%,46.8%
2026-04-01,TXN,Texas Instruments,NasdaqGS,Information Technology,Developed,7.778,178.7,17.682,5.001,34.6%,10.1x,35.9x,1.5%,30.0%,154.5%,84.9%
2026-04-01,QLYS,Qualys,NasdaqGS,Information Technology,Developed,0.673,3.075,0.669,0.198,33.2%,4.6x,15.5x,9.9%,38.2%,95.4%,55.4%
2026-04-01,QCOM,Qualcomm,NasdaqGS,Information Technology,Developed,11.443,135.8,44.867,5.365,27.2%,3.0x,25.3x,9.5%,21.5%,120.4%,62.5%
2026-04-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,2.082,5.615,5.18,0.437,20.5%,1.1x,12.9x,15.6%,10.5%,51.0%,57.6%
2026-04-01,ORCL,Oracle,NYSE,Information Technology,Developed,27.263,417.7,64.076,16.21,32.2%,6.5x,25.8x,-5.9%,64.4%,96.1%,42.2%
2026-04-01,KVYO,Klaviyo,NYSE,Information Technology,Developed,4.408,5.925,1.234,-0.032,-5.1%,4.8x,-186.5x,3.5%,-2.8%,377.3%,51.4%
2026-04-01,KD,Kyndryl Holdings,NYSE,Information Technology,Developed,5.207,2.897,15.123,0.25,4.3%,0.2x,11.6x,10.3%,21.9%,26.7%,29.1%
2026-04-01,IT,Gartner,NYSE,Information Technology,Developed,1.618,10.905,6.497,0.729,18.1%,1.7x,15.0x,10.8%,86.9%,42.3%,34.3%
2026-04-01,INTU,Intuit,NasdaqGS,Information Technology,Developed,3.944,117.8,20.121,4.34,27.1%,5.9x,27.1x,5.8%,23.5%,33.6%,52.5%
2026-04-01,EPAM,EPAM Systems,NYSE,Information Technology,Developed,1.186,7.315,5.457,0.378,10.7%,1.3x,19.4x,8.4%,10.3%,132.7%,60.7%
2026-04-01,ENTG,Entegris,NasdaqGS,Information Technology,Developed,2.955,18.05,3.197,0.236,15.2%,5.6x,76.6x,2.2%,6.2%,73.8%,83.3%
2026-04-01,DOCU,DocuSign,NasdaqGS,Information Technology,Developed,5.029,9.366,3.22,0.309,9.3%,2.9x,30.3x,11.3%,15.8%,42.5%,50.9%
2026-04-01,AMAT,Applied Materials,NasdaqGS,Information Technology,Developed,7.787,280.8,28.214,7.839,29.9%,10.0x,35.8x,2.2%,38.9%,109.8%,89.4%
